Enero;DÍA_SEMANA;DEMANDA;;Febrero;DÍA_SEMANA;DEMANDA;;Marzo;DÍA_SEMANA;DEMANDA;;Abril;DÍA_SEMANA;DEMANDA;;Mayo;DÍA_SEMANA;DEMANDA;;Junio;DÍA_SEMANA;DEMANDA;;Julio;DÍA_SEMANA;DEMANDA;;Agosto;DÍA_SEMANA;DEMANDA;;Septiembre;DÍA_SEMANA;DEMANDA;;Octubre;DÍA_SEMANA;DEMANDA;;Noviembre;DÍA_SEMANA;DEMANDA;;Diciembre;DÍA_SEMANA;DEMANDA
15/1/22;sábado;1.023.334;;15/2/22;martes;1.823.785;;15/3/22;martes;1.859.321;;15/4/22;viernes;916.560;;15/5/22;domingo;1.118.474;;15/6/22;miércoles;1.816.681;;15/7/22;viernes;1.518.025;;15/8/22;lunes;667.350;;15/9/22;jueves;1.996.397;;15/10/22;sábado;1.369.511;;15/11/22;martes;2.145.743;;15/12/22;jueves;2.245.720
16/1/22;domingo;737.797;;16/2/22;miércoles;1.874.874;;16/3/22;miércoles;1.880.659;;16/4/22;sábado;954.743;;16/5/22;lunes;966.107;;16/6/22;jueves;1.801.507;;16/7/22;sábado;952.127;;16/8/22;martes;1.058.244;;16/9/22;viernes;2.025.078;;16/10/22;domingo;1.042.210;;16/11/22;miércoles;2.194.695;;16/12/22;viernes;2.381.518
17/1/22;lunes;1.526.738;;17/2/22;jueves;1.859.256;;17/3/22;jueves;1.924.301;;17/4/22;domingo;866.621;;17/5/22;martes;1.853.063;;17/6/22;viernes;1.793.437;;17/7/22;domingo;764.043;;17/8/22;miércoles;1.083.789;;17/9/22;sábado;1.267.621;;17/10/22;lunes;2.016.357;;17/11/22;jueves;2.201.942;;17/12/22;sábado;1.747.737
18/1/22;martes;1.568.980;;18/2/22;viernes;1.924.586;;18/3/22;viernes;1.961.555;;18/4/22;lunes;1.475.879;;18/5/22;miércoles;1.921.105;;18/6/22;sábado;1.128.556;;18/7/22;lunes;1.440.862;;18/8/22;jueves;1.088.431;;18/9/22;domingo;1.019.621;;18/10/22;martes;2.139.824;;18/11/22;viernes;2.281.973;;18/12/22;domingo;1.230.413
19/1/22;miércoles;1.593.770;;19/2/22;sábado;1.211.741;;19/3/22;sábado;1.210.512;;19/4/22;martes;1.848.191;;19/5/22;jueves;1.917.626;;19/6/22;domingo;894.341;;19/7/22;martes;1.514.362;;19/8/22;viernes;1.077.538;;19/9/22;lunes;1.888.503;;19/10/22;miércoles;2.138.181;;19/11/22;sábado;1.474.343;;19/12/22;lunes;2.140.873
20/1/22;jueves;1.626.209;;20/2/22;domingo;908.705;;20/3/22;domingo;976.854;;20/4/22;miércoles;1.917.170;;20/5/22;viernes;1.966.876;;20/6/22;lunes;1.709.810;;20/7/22;miércoles;1.520.075;;20/8/22;sábado;763.279;;20/9/22;martes;2.005.609;;20/10/22;jueves;2.143.154;;20/11/22;domingo;1.067.975;;20/12/22;martes;2.216.330
21/1/22;viernes;1.709.957;;21/2/22;lunes;1.767.839;;21/3/22;lunes;1.820.197;;21/4/22;jueves;1.958.254;;21/5/22;sábado;1.236.373;;21/6/22;martes;1.789.747;;21/7/22;jueves;1.479.784;;21/8/22;domingo;670.092;;21/9/22;miércoles;2.040.418;;21/10/22;viernes;2.200.047;;21/11/22;lunes;2.046.260;;21/12/22;miércoles;2.281.969
22/1/22;sábado;1.120.905;;22/2/22;martes;1.849.255;;22/3/22;martes;1.890.545;;22/4/22;viernes;1.996.209;;22/5/22;domingo;910.402;;22/6/22;miércoles;1.814.066;;22/7/22;viernes;1.402.653;;22/8/22;lunes;1.078.476;;22/9/22;jueves;2.065.571;;22/10/22;sábado;1.445.815;;22/11/22;martes;2.147.064;;22/12/22;jueves;2.186.117
23/1/22;domingo;809.856;;23/2/22;miércoles;1.929.342;;23/3/22;miércoles;1.924.882;;23/4/22;sábado;1.239.888;;23/5/22;lunes;1.789.163;;23/6/22;jueves;1.811.766;;23/7/22;sábado;875.584;;23/8/22;martes;1.123.292;;23/9/22;viernes;2.100.649;;23/10/22;domingo;1.002.787;;23/11/22;miércoles;2.162.657;;23/12/22;viernes;1.872.823
24/1/22;lunes;1.590.679;;24/2/22;jueves;1.923.870;;24/3/22;jueves;1.933.565;;24/4/22;domingo;1.076.262;;24/5/22;martes;1.866.424;;24/6/22;viernes;1.812.440;;24/7/22;domingo;708.432;;24/8/22;miércoles;1.146.362;;24/9/22;sábado;1.354.281;;24/10/22;lunes;2.042.552;;24/11/22;jueves;2.273.825;;24/12/22;sábado;846.405
